"region","age","2016"
"01 Stockholm county","18-29 years",400.0
"01 Stockholm county","30-49 years",684.4
"01 Stockholm county","50-64 years",709.2
"03 Uppsala county","18-29 years",312.3
"03 Uppsala county","30-49 years",563.2
"03 Uppsala county","50-64 years",602.3
"04 Södermanland county","18-29 years",329.5
"04 Södermanland county","30-49 years",507.9
"04 Södermanland county","50-64 years",526.8
"05 Östergötland county","18-29 years",301.2
"05 Östergötland county","30-49 years",521.8
"05 Östergötland county","50-64 years",552.9
"06 Jönköping county","18-29 years",343.3
"06 Jönköping county","30-49 years",538.4
"06 Jönköping county","50-64 years",577.8
"07 Kronoberg county","18-29 years",318.9
"07 Kronoberg county","30-49 years",522.2
"07 Kronoberg county","50-64 years",550.4
"08 Kalmar county","18-29 years",324.1
"08 Kalmar county","30-49 years",502.1
"08 Kalmar county","50-64 years",519.4
"09 Gotland county","18-29 years",311.8
"09 Gotland county","30-49 years",506.1
"09 Gotland county","50-64 years",508.1
"10 Blekinge county","18-29 years",303.1
"10 Blekinge county","30-49 years",496.5
"10 Blekinge county","50-64 years",511.0
"12 Skåne county","18-29 years",319.1
"12 Skåne county","30-49 years",519.3
"12 Skåne county","50-64 years",558.6
"13 Halland county","18-29 years",363.0
"13 Halland county","30-49 years",596.7
"13 Halland county","50-64 years",643.0
"14 Västra Götaland county","18-29 years",341.5
"14 Västra Götaland county","30-49 years",542.0
"14 Västra Götaland county","50-64 years",583.0
"17 Värmland county","18-29 years",291.8
"17 Värmland county","30-49 years",473.7
"17 Värmland county","50-64 years",487.7
"18 Örebro county","18-29 years",301.9
"18 Örebro county","30-49 years",496.2
"18 Örebro county","50-64 years",513.5
"19 Västmanland county","18-29 years",331.1
"19 Västmanland county","30-49 years",520.3
"19 Västmanland county","50-64 years",534.8
"20 Dalarna county","18-29 years",319.2
"20 Dalarna county","30-49 years",486.5
"20 Dalarna county","50-64 years",500.3
"21 Gävleborg county","18-29 years",309.1
"21 Gävleborg county","30-49 years",479.5
"21 Gävleborg county","50-64 years",498.3
"22 Västernorrland county","18-29 years",315.1
"22 Västernorrland county","30-49 years",495.3
"22 Västernorrland county","50-64 years",507.2
"23 Jämtland county","18-29 years",304.1
"23 Jämtland county","30-49 years",486.4
"23 Jämtland county","50-64 years",492.5
"24 Västerbotten county","18-29 years",291.8
"24 Västerbotten county","30-49 years",497.0
"24 Västerbotten county","50-64 years",531.3
"25 Norrbotten county","18-29 years",329.1
"25 Norrbotten county","30-49 years",505.7
"25 Norrbotten county","50-64 years",514.4
